1.0335027095108826 + 0.01793541082796765im	0.012912906590875085 + 0.013775399779954966im	0.005707870080161882 - 0.016139465006583725im	-0.016045043652915914 - 0.012464812031644658im	-0.0024797379907309128 + 0.006838001528936686im	0.0014923793668858163 + 0.002213559537361921im	0.00041080108305592143 - 0.0010734523472200267im	-3.56672609922745e-5 - 0.00011404195846708826im	-2.5383131078364347e-5 + 5.346473510430636e-5im
1.0271992909931056 + 0.014296870144069497im	0.016940333684595764 + 0.016663267766050954im	0.005424150740522487 - 0.013752803033659045im	-0.016198069440867963 - 0.013179962896633793im	-0.002294267876780585 + 0.005819073713174761im	0.0014402967609998703 + 0.0022252723788793735im	0.00038586426888796596 - 0.0009151629401686877im	-3.155102338046799e-5 - 0.00011073578324588798im	-2.3944407245188337e-5 + 4.577758519991753e-5im
1.0288165459950966 + 0.015009647394067176im	0.014914506670899073 + 0.01713954077714778im	0.005780588803808701 - 0.016739708042214946im	-0.01537156496587051 - 0.013135664837790745im	-0.002614529416523718 + 0.007077072759946441im	0.0013034171621793987 + 0.0022288490372111493im	0.0004487132617196938 - 0.0011062575819721949im	-2.415760497590754e-5 - 0.00011219420939619346im	-2.7746568309204538e-5 + 5.494794945801818e-5im
1.0260400263181726 + 0.011882204934148825im	0.027559196166679106 + 0.021850160559370665im	0.006010599799143324 - 0.015459328477032384im	-0.022877615751927285 - 0.01553845876174132im	-0.0027290768895795107 + 0.006638358182999312im	0.002537977456817395 + 0.0026424033164972934im	0.0004772712361578957 - 0.0010566564719365148im	-8.745755809560769e-5 - 0.00013437216988662542im	-3.01125509389542e-5 + 5.288982565896579e-5im
1.035657024214377 + 0.01850469053513527im	0.031109670958852198 + 0.01737076681972041im	0.006254312115268826 - 0.015465059580029035im	-0.02904099720027949 - 0.01608349045884054im	-0.0025623897349155047 + 0.006716612587194564im	0.0036608682671410895 + 0.0030441434690328356im	0.00036171805484878965 - 0.0010897564578389149im	-0.0001470763485239519 - 0.00016704895820574927im	-2.2520862234529544e-5 + 5.42850833501308e-5im
1.0348766059503438 + 0.01769425679594296im	0.024058493814435478 + 0.018046123730940698im	0.0060721135790240246 - 0.01741378785413195im	-0.024163349721707417 - 0.01530869568772574im	-0.002756635758983167 + 0.007531532980242547im	0.0028686652387927124 + 0.0027776569954470792im	0.0004815554332305667 - 0.0012084547476148395im	-0.0001070964262030085 - 0.00014776064962118885im	-3.143024299956005e-5 + 6.0412424124715156e-5im
1.031457383880699 + 0.01583059243892625im	0.03850675307081531 + 0.020757651461231853im	0.005528613611993716 - 0.01369990744058339im	-0.032168474606474366 - 0.01733203381870524im	-0.0020746608942905616 + 0.005909711454907116im	0.004107425890707918 + 0.003128002265968912im	0.00026594911473872945 - 0.0009359063030227066im	-0.00016802511864693608 - 0.0001662210056326885im	-1.623570666172754e-5 + 4.552483329620804e-5im
1.0423978474810185 + 0.023544370387482878im	0.02912851050532875 + 0.012874022256378091im	0.0057415863494325 - 0.01477532649082139im	-0.030631735758833194 - 0.015329412008158716im	-0.002273055053222855 + 0.006515487637454466im	0.0040424669145323056 + 0.0029751180505711477im	0.00032188557145761083 - 0.0010565379912281917im	-0.00016969664025354747 - 0.00016403367047782935im	-2.0459575214969147e-5 + 5.243702920901482e-5im
1.0386487950040808 + 0.021727225882369465im	0.02646767591819051 + 0.0129251532537246im	0.0058593840253077095 - 0.015746557046601117im	-0.02744308663947162 - 0.014093498675184762im	-0.0026676043138994586 + 0.006862791911797116im	0.003493665086182734 + 0.0026517942828176624im	0.0004679368846394323 - 0.0010856382801106511im	-0.00014147494474259372 - 0.00014274392988108836im	-3.032616277292028e-5 + 5.299777700649535e-5im
1.0352080770997167 + 0.018899876153832054im	0.02711560975674095 + 0.015886353438424806im	0.005376426614360612 - 0.01581653713199469im	-0.026253390979766335 - 0.014819453160448404im	-0.002266341207708512 + 0.006848197078980112im	0.003212057237576456 + 0.0027252947507156464im	0.00037495887370971064 - 0.0010929421705119238im	-0.00012439527220834293 - 0.00014478872874797648im	-2.4689055766646204e-5 + 5.4201181729928684e-5im
